(swalp) qian@salad:~/mi2019/SWALP$ ./exp/block_vgg_swa.sh CIFAR10 100
Checkpoint directory ./checkpoint/block-CIFAR10-VGG16LP/seed100
Tensorboard loggint at runs/block-CIFAR10-VGG16LP/seed100_10_24_00_36
Prepare data loaders:
Loading dataset CIFAR10 from .
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Prepare quantizers:
Block rounding, W:8, A:8, G:8, E:8, Acc:8
lr init: 0.05
swa start: 200.0 swa lr: 0.01
Model: VGG16LP
Prepare SWA training
----  --------  ---------  --------  ---------  --------  ------------  --------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc  swa_te_acc        time
----  --------  ---------  --------  ---------  --------  ------------  --------
 201    0.0100     0.0845   97.2540     0.3479   90.7600       92.5600   54.8050
 202    0.0100     0.0888   97.0620     0.3597   90.6500       92.3800   54.9093
 203    0.0100     0.0874   97.1100     0.3917   89.9500       92.4700   54.8135
 204    0.0100     0.0882   97.2040     0.3914   89.8300       92.6900   54.7072
 205    0.0100     0.0895   97.1100     0.3442   90.7400       92.8300   54.7975
 206    0.0100     0.0890   97.1420     0.3495   90.6600       92.7800   54.7930
 207    0.0100     0.0860   97.1540     0.3563   90.2600       92.7300   54.8519
 208    0.0100     0.0855   97.3000     0.3506   91.0600       92.8800   54.7208
 209    0.0100     0.0846   97.3140     0.3632   90.9500       92.8800   54.7118
 210    0.0100     0.0868   97.2460     0.3561   90.0400       92.8200   54.5774
 211    0.0100     0.0890   97.1500     0.3557   90.4400       92.8700   54.7369
 212    0.0100     0.0814   97.3100     0.3888   89.6900       92.8500   54.7791
 213    0.0100     0.0920   97.0560     0.3678   90.3500       92.8900   54.7551
 214    0.0100     0.0773   97.5260     0.3556   90.2800       92.9800   54.7520
 215    0.0100     0.0831   97.2900     0.3505   90.9900       93.0000   54.7713
 216    0.0100     0.0850   97.2240     0.3987   90.0700       93.0900   54.8756
 217    0.0100     0.0789   97.4200     0.3885   90.3200       93.1100   54.7924
 218    0.0100     0.0773   97.4780     0.3844   89.7200       93.1000   54.7117
 219    0.0100     0.0830   97.2800     0.3920   90.0900       93.1600   54.8115
 220    0.0100     0.0815   97.3760     0.3562   90.7100       93.1900   54.7360
 221    0.0100     0.0781   97.4620     0.3636   90.7000       93.1800   54.8205
 222    0.0100     0.0792   97.4900     0.3403   90.9500       93.1500   54.8370
 223    0.0100     0.0794   97.3860     0.3500   90.8200       93.2200   54.7848
 224    0.0100     0.0842   97.2920     0.3540   90.6900       93.2500   54.8054
 225    0.0100     0.0840   97.2060     0.3555   90.1100       93.2000   54.9351
 226    0.0100     0.0810   97.3420     0.3315   90.8000       93.2700   54.7437
 227    0.0100     0.0788   97.4220     0.3680   90.1000       93.2300   54.6274
 228    0.0100     0.0815   97.2920     0.3605   90.4500       93.2400   54.8945
 229    0.0100     0.0818   97.3220     0.3818   90.2800       93.3100   54.8843
 230    0.0100     0.0865   97.2140     0.3460   90.8000       93.3000   54.9188
 231    0.0100     0.0782   97.5120     0.3750   90.6200       93.3200   54.9536
 232    0.0100     0.0810   97.3440     0.3802   90.2800       93.3000   54.9057
 233    0.0100     0.0806   97.3780     0.3848   90.4500       93.3200   54.8861
 234    0.0100     0.0775   97.4400     0.3562   90.6900       93.3100   54.8628
 235    0.0100     0.0796   97.3740     0.3702   90.4100       93.2600   54.8537
 236    0.0100     0.0780   97.4060     0.3539   90.3700       93.3200   54.8282
 237    0.0100     0.0852   97.2960     0.3547   90.8100       93.2700   54.9613
 238    0.0100     0.0833   97.3040     0.3464   90.1300       93.2800   54.9004
 239    0.0100     0.0783   97.4740     0.3621   90.6600       93.3000   54.7143
 240    0.0100     0.0781   97.4080     0.3495   90.9900       93.2900   54.8769
----  --------  ---------  --------  ---------  --------  ------------  --------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_acc      time
----  --------  ---------  --------  ---------  --------  ------------  --------
 241    0.0100     0.0756   97.4880     0.3382   90.8100       93.3000   54.8651
 242    0.0100     0.0745   97.5740     0.3639   90.8200       93.3600   54.9451
 243    0.0100     0.0772   97.4800     0.3958   90.0400       93.3500   54.9284
 244    0.0100     0.0795   97.4120     0.4469   88.6200       93.3800   54.7904
 245    0.0100     0.0807   97.4240     0.4149   89.7500       93.4000   54.9583
 246    0.0100     0.0775   97.4720     0.3593   90.6800       93.4500   54.8761
 247    0.0100     0.0794   97.4460     0.4133   89.8500       93.4400   55.0167
 248    0.0100     0.0784   97.4720     0.3756   90.4700       93.4600   54.8807
 249    0.0100     0.0811   97.3500     0.3860   89.9100       93.4700   54.9804
 250    0.0100     0.0766   97.5540     0.3886   90.4100       93.4500   54.9830
 251    0.0100     0.0818   97.3660     0.3770   90.6500       93.4700   54.9718
 252    0.0100     0.0787   97.4820     0.3865   90.2400       93.4900   54.8464
 253    0.0100     0.0810   97.4020     0.3899   89.9700       93.4800   54.9427
 254    0.0100     0.0739   97.5780     0.3609   90.4300       93.5300   55.0100
 255    0.0100     0.0784   97.4700     0.4094   90.3400       93.5300   54.9369
 256    0.0100     0.0752   97.5280     0.3632   90.7600       93.4900   55.0636
 257    0.0100     0.0758   97.5520     0.3888   90.2500       93.4600   54.7905
 258    0.0100     0.0780   97.5240     0.3614   90.3200       93.4700   55.0018
 259    0.0100     0.0778   97.5140     0.3958   90.7000       93.4900   54.9581
 260    0.0100     0.0776   97.4980     0.3689   90.3900       93.4300   54.8241
 261    0.0100     0.0766   97.5060     0.3541   90.7900       93.4600   54.8646
 262    0.0100     0.0809   97.4300     0.3630   90.4800       93.4200   54.8327
 263    0.0100     0.0793   97.4340     0.3568   90.9000       93.4400   54.9448
 264    0.0100     0.0810   97.3660     0.3601   90.4000       93.4200   54.7607
 265    0.0100     0.0783   97.4180     0.3909   90.3100       93.4200   55.0038
 266    0.0100     0.0759   97.5040     0.3654   90.4900       93.3800   54.8677
 267    0.0100     0.0774   97.4980     0.3850   90.1700       93.4200   54.8879
 268    0.0100     0.0745   97.5140     0.3644   90.8600       93.4200   55.0046
 269    0.0100     0.0722   97.6180     0.3655   90.3000       93.4300   54.9364
 270    0.0100     0.0767   97.5100     0.4053   89.8700       93.4300   54.9357
 271    0.0100     0.0729   97.6180     0.3892   90.3200       93.4300   54.9201
 272    0.0100     0.0762   97.5200     0.3804   90.1900       93.4700   54.9208
 273    0.0100     0.0809   97.3860     0.3490   90.8300       93.4700   54.9606
 274    0.0100     0.0816   97.3480     0.3709   90.2400       93.4200   54.8729
